,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp
556,0.164,26.5,0.041,26,1612813148.52118
557,0.164,27,0.041,26,1612813149.57934
558,0.246,27,0.04,26,1612813150.62535
559,0.204,27,0.122,26,1612813151.68595
560,0.123,27,0.041,26,1612813152.75347
561,0.164,27,0.041,26,1612813153.80958
562,0.287,27.5,0.081,26,1612813154.85893
563,0.164,27,0,28,1612813155.91266
564,0.164,26.5,0.041,26,1612813156.96607
565,0.164,27,0.041,26,1612813158.02209
566,0.164,27,0.041,25.5,1612813159.09028
567,0.164,27,0.082,25.5,1612813160.14478
568,0.164,27,0.041,26,1612813161.20433
569,0.164,27,0.041,26,1612813162.25963
570,0.287,27,0.122,25.5,1612813163.2969
571,0.164,26.5,0,27.5,1612813164.36084
572,0.164,27,0.041,25.5,1612813165.41915
573,0.164,27,0.041,26,1612813166.47658
574,0.164,27,0.041,26,1612813167.54083
575,0.164,27,0.082,25.5,1612813168.61143
576,0.205,27,0.041,26,1612813169.66049
577,0.205,27,0.041,26,1612813170.7111
578,0.245,26.5,0.122,25.5,1612813171.7638
579,0.164,26.5,0,27.5,1612813172.8209
580,0.164,27,0.041,25.5,1612813173.87681
581,0.164,26.5,0.041,26,1612813174.93426
582,0.164,27,0.041,25.5,1612813175.99454
583,0.164,27,0.082,26,1612813177.05182
584,0.164,26.5,0.041,26,1612813178.11089
585,0.164,26.5,0.041,25.5,1612813179.16359
586,0.246,26.5,0.081,25.5,1612813180.21667
587,0.164,27,0,28,1612813181.28884
588,0.164,26.5,0,27.5,1612813182.34389
589,0.164,27,0.041,26,1612813183.41519
590,0.164,26.5,0.041,26,1612813184.47863
591,0.164,27,0.041,26,1612813185.53663
592,0.205,26.5,0.122,26,1612813186.59228
593,0.164,26.5,0.041,26,1612813187.64887
594,0.164,26.5,0.041,25.5,1612813188.71076
595,0.164,26.5,0,25.5,1612813189.77478
596,0.164,27,0,28,1612813190.84074
597,0.164,26.5,0.041,26,1612813191.8969
598,0.164,27,0.041,25.5,1612813192.95256
