,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
401,0.394,52.0,4.762,51.0,1617815068.4021182,8.108
402,0.399,52.0,4.106,50.5,1617815069.4472659,7.348
403,0.401,51.0,3.577,49.5,1617815070.4920223,6.752
404,0.398,52.0,4.635,50.5,1617815071.541055,7.856
405,0.469,52.5,4.935,51.0,1617815072.588982,8.67
406,0.908,48.5,0.205,48.0,1617815073.6367645,4.197
407,0.947,48.5,0.0,48.0,1617815074.685712,3.903
408,0.44,50.5,3.565,49.0,1617815075.730125,6.69
409,0.398,51.5,4.1,50.0,1617815076.7757995,7.324
410,0.429,52.0,4.958,51.0,1617815077.8310766,8.964
411,0.403,50.5,3.623,50.0,1617815078.8738353,6.491
412,0.4,51.5,4.153,50.0,1617815079.919314,7.348
413,0.475,52.5,4.627,50.5,1617815080.9686644,8.068
414,0.4,52.5,4.233,50.5,1617815082.0155284,7.308
415,0.87,48.0,0.0,48.0,1617815083.0607579,3.561
416,0.562,51.5,3.12,49.5,1617815084.1047235,6.549
417,0.358,51.5,4.087,50.0,1617815085.1509254,7.312
418,0.315,52.0,4.801,51.0,1617815086.2005239,8.068
419,0.318,52.0,4.378,50.5,1617815087.2484834,7.523
420,0.322,51.0,3.571,50.0,1617815088.2936223,6.792
421,0.36,52.0,4.106,50.5,1617815089.3396683,7.376
422,0.391,53.0,5.066,51.5,1617815090.3943367,8.979
423,1.114,49.0,0.206,48.0,1617815091.4406822,4.156
424,0.828,48.5,0.0,49.0,1617815092.4888208,3.668
425,0.358,50.5,3.463,50.0,1617815093.5341368,7.046
426,0.318,51.5,4.212,50.0,1617815094.583829,7.34
427,0.355,52.5,4.786,51.0,1617815095.63829,8.485
428,0.845,51.0,3.3,50.0,1617815096.6805866,6.642
429,0.36,51.5,4.193,50.0,1617815097.7296169,7.28
430,0.435,52.5,4.627,51.0,1617815098.776258,8.068
431,0.515,52.0,4.548,51.0,1617815099.8296173,8.002
432,0.87,48.5,0.0,48.5,1617815100.8751516,3.561
433,1.584,49.0,0.649,48.0,1617815101.9234178,4.99
434,0.44,51.0,3.52,50.0,1617815102.9682822,6.64
435,0.394,52.5,4.754,50.5,1617815104.016899,7.977
436,0.434,53.0,4.849,51.0,1617815105.0650332,8.252
437,0.477,51.0,3.662,50.0,1617815106.1199818,7.388
438,0.4,52.0,4.153,50.5,1617815107.1646302,7.388
439,0.396,52.5,4.793,50.5,1617815108.213895,8.002
440,1.554,50.0,0.368,48.5,1617815109.2812116,4.989
441,0.869,49.0,0.0,48.5,1617815110.327731,3.354
442,0.474,51.5,4.376,50.5,1617815111.374971,7.872
443,0.399,51.5,4.02,50.5,1617815112.4231808,7.432
444,0.355,52.5,4.762,51.0,1617815113.472407,8.147
445,2.136,50.5,1.415,50.0,1617815114.5555196,5.793
446,0.362,51.5,3.582,50.5,1617815115.6049705,6.642
447,0.396,52.5,4.667,50.5,1617815116.6543856,8.174
