,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
380,0.35,51.5,4.902,48.0,1614747061.848623,8.716
381,0.766,47.5,0.161,46.0,1614747062.8938725,3.421
382,0.884,46.5,0.04,45.5,1614747063.9394917,3.577
383,0.395,48.5,3.395,47.0,1614747064.9782794,6.446
384,0.433,49.5,3.981,47.5,1614747066.0269628,6.741
385,0.351,50.0,4.794,48.0,1614747067.082495,8.354
386,0.435,48.5,3.327,47.5,1614747068.1233516,6.061
387,0.394,49.0,3.863,47.0,1614747069.1723917,6.82
388,0.313,50.0,4.59,47.5,1614747070.2249498,7.65
389,0.314,50.0,4.243,47.5,1614747071.2689562,7.163
390,0.963,47.0,0.16,45.5,1614747072.3132432,3.852
391,0.714,47.5,2.46,46.5,1614747073.356977,5.942
392,0.355,48.5,3.863,46.5,1614747074.4040067,6.78
393,0.353,49.0,4.472,47.5,1614747075.456014,7.532
394,0.392,49.0,4.315,47.0,1614747076.5090902,7.387
395,0.316,48.0,3.361,47.0,1614747077.5666523,6.1
396,0.315,49.0,3.942,47.0,1614747078.6156478,6.78
397,0.312,49.5,4.91,47.5,1614747079.6705275,8.393
398,1.68,46.5,0.16,45.5,1614747080.7145863,4.44
399,0.885,46.0,0.08,44.0,1614747081.7601385,3.502
400,0.392,48.0,4.04,46.5,1614747082.8133972,7.348
401,0.276,47.5,3.902,46.5,1614747083.8631508,6.899
402,0.314,49.0,4.511,46.5,1614747084.9192126,7.493
403,1.465,48.0,2.175,46.5,1614747085.9606364,6.328
404,0.316,48.0,3.553,46.5,1614747087.0135164,6.633
405,0.313,48.5,4.511,46.0,1614747088.0678577,7.571
406,0.314,49.0,4.511,46.5,1614747089.119714,7.532
407,0.885,45.5,0.241,44.5,1614747090.1655061,3.657
408,1.56,45.5,0.32,44.5,1614747091.21176,4.592
409,0.356,48.0,3.282,46.0,1614747092.2549355,6.1
410,0.353,48.0,4.472,46.5,1614747093.304339,7.493
411,0.313,48.5,4.55,46.5,1614747094.3585231,7.532
